{i18n_haroopad_147}	输入主题
{i18n_haroopad_148}	接收者
{i18n_haroopad_149}	发送者
{i18n_haroopad_150}	输入接收者的 Email 地址
{i18n_haroopad_151}	HTML
{i18n_haroopad_152}	Markdown
{i18n_haroopad_153}	关闭
{i18n_haroopad_154}	发送
{i18n_haroopad_155}	已发送
{i18n_haroopad_156}	记住 Email
{i18n_haroopad_157}	密码
{i18n_haroopad_158}	密码不会被保存
{i18n_haroopad_159}	输入您的Gmail地址
{i18n_haroopad_160}	Evernote
{i18n_haroopad_161}	Tumblr
{i18n_haroopad_162}	无效的用户名或密码.
{i18n_haroopad_163}	文档已修改，是否保存修改?
{i18n_haroopad_164}	取消
{i18n_haroopad_165}	不保存
{i18n_haroopad_166}	保存
{i18n_haroopad_167}	是
{i18n_haroopad_168}	否
{i18n_haroopad_169}	内容已被其他程序修改。<br/>是否重新载入?
{i18n_haroopad_170}	已是最新版
{i18n_haroopad_171}	希望获得最新版本?
{i18n_haroopad_172}	发行说明
{i18n_haroopad_173}	下载
{i18n_haroopad_174}	Haroopad 目前已是最新版本，不需要更新
{i18n_haroopad_175}	偏好设置
{i18n_haroopad_176}	确定
{i18n_haroopad_177}	否
{i18n_haroopad_178}	是
{i18n_haroopad_179}	取消
{i18n_haroopad_180}	重置
{i18n_haroopad_181}	应用
{i18n_haroopad_182}	完成
{i18n_haroopad_183}	更新中
{i18n_haroopad_184}	编辑
{i18n_haroopad_185}	重新载入
{i18n_haroopad_186}	已有新的语言包，是否现在更新?
{i18n_haroopad_187}	更新完成，请重新启动 Haroopad :)
{i18n_haroopad_188}	更新失败 :( 请检查网络连接。
{i18n_haroopad_189}	通用
{i18n_haroopad_190}	编辑器
{i18n_haroopad_191}	预览
{i18n_haroopad_192}	自定义
{i18n_haroopad_193}	代码
{i18n_haroopad_194}	Markdown
{i18n_haroopad_195}	关于
{i18n_haroopad_196}	备份
{i18n_haroopad_197}	通用
{i18n_haroopad_198}	日期和时间
{i18n_haroopad_199}	启用 Markdown 自动完成
{i18n_haroopad_200}	同步滚动
{i18n_haroopad_201}	自动恢复上一次文件
{i18n_haroopad_202}	通用
{i18n_haroopad_203}	主题
{i18n_haroopad_204}	空格
{i18n_haroopad_205}	自定义主题
{i18n_haroopad_206}	Tab 宽度
{i18n_haroopad_207}	使用制表符缩进
{i18n_haroopad_208}	显示行号
{i18n_haroopad_209}	Vim 模式
{i18n_haroopad_210}	自动符号配对
{i18n_haroopad_211}	插入 4 个空格代替制表符
{i18n_haroopad_212}	高亮显示当前行
{i18n_haroopad_213}	启用 Markdown 折叠
{i18n_haroopad_214}	通用
{i18n_haroopad_215}	主题
{i18n_haroopad_216}	字体大小
{i18n_haroopad_217}	自定义主题
{i18n_haroopad_218}	允许点击超链接
{i18n_haroopad_219}	通用
{i18n_haroopad_220}	重新载入
{i18n_haroopad_221}	目录
{i18n_haroopad_222}	选择主题
{i18n_haroopad_223}	主题将应用于：实时预览、导出为 HTML/PDF、发送 Email (Evernote, Tumblr)
{i18n_haroopad_224}	通用
{i18n_haroopad_225}	主题
{i18n_haroopad_226}	代码高亮中显示行号
{i18n_haroopad_227}	Github Flavored Markdown (GFM)
{i18n_haroopad_228}	其他选项
{i18n_haroopad_229}	数学表达式选项
{i18n_haroopad_230}	忽略输入的 HTML 标记
{i18n_haroopad_231}	使用 GFM 换行模式
{i18n_haroopad_232}	启用 GFM 表格
{i18n_haroopad_233}	智能列表
{i18n_haroopad_234}	智能标点
{i18n_haroopad_235}	启用数学表达式
{i18n_haroopad_236}	您的 Markdown 设置将会恢复到默认设置
{i18n_haroopad_237}	使用 $ 作为行内表达式标记 (默认: $$$)
{i18n_haroopad_238}	启用脚注
{i18n_haroopad_239}	捐赠
{i18n_haroopad_240}	<strong>Haroo</strong> 在韩语中意为 \"一天\"
{i18n_haroopad_241}	版本
{i18n_haroopad_242}	官方网站
{i18n_haroopad_243}	开发者
{i18n_haroopad_244}	特别感谢
{i18n_haroopad_245}	图标
{i18n_haroopad_246}	Haroopad<small>下一代文档编辑器</small>
{i18n_haroopad_247}	如果您喜欢 Haroopad, 请捐赠以支持发展 :)
{i18n_haroopad_248}	导入和导出配置...
{i18n_haroopad_249}	导入配置
{i18n_haroopad_250}	导出配置
{i18n_haroopad_251}	需要重新启动
{i18n_haroopad_252}	配置导入完毕，您需要重新启动 Haroopad 来使它们生效。<br/>是否重新启动 Haroopad?
{i18n_haroopad_253}	导出完成!
{i18n_haroopad_254}	设置导出成功。<br/>您可以通过 \"<b>偏好设置 &gt; 备份 &gt; 导入配置</b>\" 来导入您的配置信息。
